WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_34,GemiddeldeHuishoudensgrootte_33,HuishoudensMetKinderen_32,HuishoudensTotaal_29,MateVanStedelijkheid_122,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeregistreerdeMisdrijven_1,crime_property,crime_violence,crime_vandalism,cluster_id,cluster_label_short,cluster_label_long,pca_x,pca_y,buurt_naam
BU08670002,Waalwijk                                ,Buurt     ,BU08670002,2120,3306.0,2.0,290,1050,3.0,285,235,555,575,480,121.0,25.0,6.0,28.0,3,label_short,label_long,1.403248816645669,0.0921687759987323,Baardwijk
BU17083600,Steenwijkerland                         ,Buurt     ,BU17083600,40,11.0,2.7,5,20,5.0,5,5,10,15,10,0.0,0.0,0.0,0.0,0,label_short,label_long,-2.566768609108798,0.56153568645899,Baarlo
BU18940401,Peel en Maas                            ,Buurt     ,BU18940401,2275,2586.0,2.0,295,1100,4.0,280,195,445,605,755,104.0,28.0,4.0,19.0,5,label_short,label_long,1.3150223548843818,0.6501343174215072,Baarlo-centrum
BU17082300,Steenwijkerland                         ,Buurt     ,BU17082300,165,78.0,2.3,20,70,5.0,25,15,40,40,45,4.0,0.0,1.0,1.0,8,label_short,label_long,-2.283403816062966,0.1617560414695423,Baars
BU07980301,Hilvarenbeek                            ,Buurt     ,BU07980301,270,897.0,2.6,40,100,5.0,40,25,60,90,45,8.0,3.0,0.0,1.0,0,label_short,label_long,-2.176490753339269,0.5285394118756139,Baarschot
BU15980403,Koggenland                              ,Buurt     ,BU15980403,130,60.0,2.7,20,50,5.0,25,10,25,45,30,2.0,0.0,0.0,1.0,0,label_short,label_long,-2.4269238779967317,0.6253459485431831,Baarsdorpermeer
BU19301410,Nissewaard                              ,Buurt     ,BU19301410,1065,9380.0,2.6,195,405,1.0,215,150,265,250,180,65.0,21.0,4.0,7.0,11,label_short,label_long,0.0716161069986954,-0.5759748406049157,Baarsveen
BU02990100,Zevenaar                                ,Buurt     ,BU02990100,1545,2772.0,2.2,245,705,5.0,215,160,325,480,365,75.0,16.0,7.0,14.0,5,label_short,label_long,0.1079877507308577,0.6435889066450903,Babberich
BU06220501,Vlaardingen                             ,Buurt     ,BU06220501,2150,5189.0,2.4,365,900,1.0,365,235,515,620,415,108.0,29.0,2.0,23.0,3,label_short,label_long,1.6464059773057882,0.176867943899176,Babberspolder Noord
BU06220504,Vlaardingen                             ,Buurt     ,BU06220504,4625,10569.0,2.3,840,2010,2.0,1050,475,1385,1070,645,352.0,103.0,36.0,36.0,1,label_short,label_long,6.185729533926479,0.938284985839078,Babberspolder Oost
BU06220503,Vlaardingen                             ,Buurt     ,BU06220503,4820,8852.0,2.2,795,2150,1.0,780,525,1140,1330,1040,239.0,80.0,18.0,21.0,1,label_short,label_long,6.024641498151417,1.2818515606408944,Babberspolder West
