WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU01501403,53299,14
BU01501501,53325,69
BU01501502,53338,30
BU01501503,53351,12
BU01501504,53364,2
BU01501505,53377,13
BU01970101,1208,0
BU01970102,1221,13
BU01970103,1234,5
BU01970104,1247,15
BU01970105,1260,1
BU01970106,1273,0
BU01970107,1286,2
BU01970108,1299,23
BU01970109,1312,2
BU01970110,1325,15
BU01970111,1338,30
BU01970112,1351,0
BU01970201,1377,8
BU01970202,1390,7
BU01970203,1403,4
BU01970204,1416,14
BU01970301,1442,20
BU01970302,1455,28
BU01970303,1468,8
BU01970304,1481,38
BU01970305,1494,8
BU01970306,1507,8
BU01970307,1520,76
BU01970400,1546,65
BU01970401,1559,26
BU01970402,1572,44
BU01970403,1585,0
BU01970408,1598,6
BU01970409,1611,8
BU02000101,23412,1173
BU02000102,23425,217
BU02000201,23451,155
BU02000202,23464,60
BU02000203,23477,89
BU02000204,23490,89
BU02000205,23503,159
BU02000206,23516,225
BU02000207,23529,12
BU02000301,23555,76
BU02000302,23568,19
BU02000303,23581,56
BU02000304,23594,103
BU02000305,23607,61
BU02000306,23620,36
BU02000307,23633,171
BU02000308,23646,33
BU02000309,23659,44
BU02000310,23672,9
BU02000311,23685,8
BU02000401,23711,203
BU02000402,23724,218
BU02000403,23737,148
BU02000404,23750,76
BU02000405,23763,150
BU02000406,23776,69
BU02000407,23789,26
BU02000408,23802,12
BU02000409,23815,59
BU02000501,23841,139
BU02000502,23854,69
BU02000503,23867,101
BU02000504,23880,66
BU02000505,23893,124
BU02000506,23906,175
BU02000507,23919,13
BU02000508,23932,19
BU02000601,23958,166
BU02000602,23971,68
BU02000603,23984,151
BU02000604,23997,113
BU02000605,24010,78
BU02000606,24023,120
BU02000607,24036,10
BU02000608,24049,3
BU02000701,24075,51
BU02000702,24088,178
BU02000703,24101,99
BU02000704,24114,211
BU02000705,24127,155
BU02000706,24140,64
BU02000707,24153,37
BU02000708,24166,107
BU02000709,24179,40
BU02000801,24205,192
BU02000802,24218,47
BU02000803,24231,53
BU02000804,24244,22
BU02000805,24257,30
BU02000806,24270,167
BU02000807,24283,7
BU02000808,24296,26
BU02000809,24309,18
BU02001001,24335,28
BU02001002,24348,9
BU02001003,24361,21
BU02001004,24374,27
BU02001101,24400,1
BU02001102,24413,6
BU02001103,24426,12
BU02001104,24439,14
BU02001201,24465,26
BU02001202,24478,76
BU02001203,24491,25
BU02001204,24504,66
BU02001301,24530,0
BU02001302,24543,50
BU02001303,24556,43
BU02001401,24582,88
BU02001402,24595,14
BU02001403,24608,24
BU02001404,24621,133
BU02001501,24647,10
BU02001502,24660,6
BU02001503,24673,8
BU02001601,24699,40
BU02001602,24712,13
BU02001603,24725,44
BU02001604,24738,5
BU02001701,24764,9
BU02001702,24777,1
BU02001703,24790,3
BU02001704,24803,17
BU02001705,24816,13
BU02001706,24829,11
BU02020100,24868,718
BU02020101,24881,289
BU02020102,24894,721
BU02020103,24907,62
BU02020104,24920,667
BU02020170,24933,186
BU02020210,24959,246
BU02020211,24972,440
BU02020212,24985,119
BU02020314,25011,88
BU02020320,25024,157
BU02020321,25037,33
BU02020322,25050,260
BU02020338,25063,33
BU02020339,25076,81
BU02020423,25102,116
BU02020424,25115,66
BU02020425,25128,282
BU02020526,25154,220
BU02020527,25167,16
BU02020528,25180,291
BU02020529,25193,52
BU02020630,25219,98
BU02020631,25232,118
BU02020650,25245,57
BU02020732,25271,146
BU02020733,25284,260
BU02020734,25297,55
BU02020735,25310,78
BU02020840,25336,106
BU02020841,25349,40
BU02020842,25362,30
BU02020843,25375,125
BU02020844,25388,61
BU02020845,25401,62
BU02020951,25427,45
BU02020952,25440,109
BU02021053,25466,173
BU02021154,25492,58
BU02021155,25505,40
BU02021159,25518,82
BU02021260,25544,41
BU02021261,25557,314
BU02021262,25570,29
BU02021263,25583,21
BU02021264,25596,38
BU02021269,25609,48
BU02021365,25635,33
BU02021366,25648,17
BU02021367,25661,161
BU02021368,25674,207
BU02021471,25700,74
BU02021473,25713,80
BU02021474,25726,28
BU02021572,25752,46
BU02021579,25765,12
BU02021681,25791,53
BU02021682,25804,194
BU02021780,25830,190
BU02021783,25843,127
BU02021798,25856,69
BU02021815,25882,67
