WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00500009,425148808,24.0
BU00500010,425149575,16.0
BU00590000,411548364,218.0
BU00590001,411549131,34.0
BU00590002,411549898,66.0
BU00590003,411550665,44.0
BU00590004,411551432,26.0
BU00590005,411552199,34.0
BU00590006,411552966,12.0
BU00590007,411553733,20.0
BU00590008,411554500,6.0
BU00590009,411555267,0.0
BU00590100,411556801,12.0
BU00590102,411557568,52.0
BU00590103,411558335,23.0
BU00590107,411559102,2.0
BU00590108,411559869,6.0
BU00590109,411560636,12.0
BU00590200,411562170,236.0
BU00590201,411562937,164.0
BU00590202,411563704,50.0
BU00590203,411564471,26.0
BU00590206,411565238,18.0
BU00590207,411566005,10.0
BU00590208,411566772,14.0
BU00590209,411567539,18.0
BU00600000,412158896,66.0
BU00600001,412159663,30.0
BU00600002,412160430,10.0
BU00600003,412161197,24.0
BU00600007,412161964,12.0
BU00600008,412162731,32.0
BU00600009,412163498,7.0
BU00720001,416931937,43.0
BU00720002,416932704,82.0
BU00720003,416933471,111.0
BU00720004,416934238,262.0
BU00720005,416935005,34.0
BU00720006,416935772,264.0
BU00720007,416936539,2.0
BU00720009,416937306,12.0
BU00720100,416938840,20.0
BU00720109,416939607,46.0
BU00720200,416941141,6.0
BU00720209,416941908,10.0
BU00740100,417020142,324.0
BU00740101,417020909,703.0
BU00740102,417021676,266.0
BU00740103,417022443,152.0
BU00740104,417023210,286.0
BU00740105,417023977,40.0
BU00740106,417024744,151.0
BU00740107,417025511,112.0
BU00740108,417026278,102.0
BU00740109,417027045,20.0
BU00740110,417027812,72.0
BU00740201,417029346,6.0
BU00740202,417030113,6.0
BU00740203,417030880,16.0
BU00740204,417031647,0.0
BU00740205,417032414,9.0
BU00740301,417033948,27.0
BU00740302,417034715,16.0
BU00740401,417036249,112.0
BU00740402,417037016,32.0
BU00740403,417037783,12.0
BU00740404,417038550,28.0
BU00740405,417039317,30.0
BU00740406,417040084,87.0
BU00740407,417040851,22.0
BU00740601,417042385,36.0
BU00740701,417043919,6.0
BU00740702,417044686,2.0
BU00740901,417046220,146.0
BU00740902,417046987,9.0
BU00740903,417047754,59.0
BU00801001,418595560,870.0
BU00801002,418596327,382.0
BU00801003,418597094,184.0
BU00801004,418597861,214.0
BU00801005,418598628,386.0
BU00801006,418599395,161.0
BU00801007,418600162,401.0
BU00801008,418600929,429.0
BU00801101,418602463,194.0
BU00801102,418603230,214.0
BU00801103,418603997,205.0
BU00801104,418604764,114.0
BU00801105,418605531,564.0
BU00801106,418606298,66.0
BU00801107,418607065,192.0
BU00801108,418607832,137.0
BU00801109,418608599,216.0
BU00802001,418610133,196.0
BU00802002,418610900,114.0
BU00802003,418611667,165.0
BU00802004,418612434,118.0
BU00802005,418613201,374.0
BU00802006,418613968,272.0
BU00802007,418614735,205.0
BU00802008,418615502,192.0
BU00802009,418616269,290.0
BU00803001,418617803,66.0
BU00803002,418618570,41.0
BU00803003,418619337,285.0
BU00803004,418620104,86.0
BU00803005,418620871,107.0
BU00803006,418621638,125.0
BU00803007,418622405,20.0
BU00803101,418623939,190.0
BU00803102,418624706,6.0
BU00803201,418626240,173.0
BU00803202,418627007,117.0
BU00803203,418627774,99.0
BU00803204,418628541,51.0
BU00804001,418630075,351.0
BU00804002,418630842,88.0
BU00804003,418631609,80.0
BU00804004,418632376,197.0
BU00804101,418633910,315.0
BU00804102,418634677,44.0
BU00804103,418635444,39.0
BU00804104,418636211,37.0
BU00804105,418636978,80.0
BU00804106,418637745,20.0
BU00804107,418638512,6.0
BU00804108,418639279,0.0
BU00804109,418640046,10.0
BU00804110,418640813,6.0
BU00805001,418642347,283.0
BU00805002,418643114,211.0
BU00805003,418643881,182.0
BU00805101,418645415,231.0
BU00805102,418646182,253.0
BU00805103,418646949,131.0
BU00805104,418647716,2.0
BU00805105,418648483,50.0
BU00806001,418650017,512.0
BU00806002,418650784,4.0
BU00806003,418651551,20.0
BU00806101,418653085,218.0
BU00806102,418653852,190.0
BU00806201,418655386,18.0
BU00806202,418656153,8.0
BU00806203,418656920,4.0
BU00806204,418657687,24.0
BU00806205,418658454,2.0
BU00806206,418659221,16.0
BU00806207,418659988,6.0
BU00806208,418660755,20.0
BU00806209,418661522,30.0
BU00806210,418662289,6.0
